"A joint field with this alias (%s) is already declared.","Um campo agrupad com este álias (%s) já foi criado."
"Add Option","Adicionar Opção"
"An error occurred while loading a record, aborting. Error: %s","Ocorreu um erro ao carregar os dados, abortando. Erro: %s"
"An error occurred while loading the collection, aborting. Error: %s","Ocorreu um erro ao carregar a coleção, abortando. Erro: %s"
"An error occurred while saving a record, aborting. Error: ","Ocorreu um erro ao salvar dados, abortando. Erro: "
"Attempt to add an invalid object.","Tentar adicionar um objeto inválido."
"Attribute '%s' used in configurable products.","Atributo '%s' usado em produtos configurados."
"Attribute Code","Código do Atributo"
"Attribute Label","Legenda"
"Attribute Properties","Propriedades do Atributo"
"Attribute set with the ""%s"" name already exists.","Atributo configurado com nome ""%s"" já existe."
"Attribute with the same code","Atributo com o mesmo código"
"Catalog Input Type for Store Owner","Formato do Campo p/ Lojista"
"Data integrity: No header row found for attribute.","Integridade de Dados: Nenhum cabeçalho encontrado para o atributo."
"Date","Data"
"Decimal Number","Numérico Decimal"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Ordem de Listagem de Produtos Padrão não existe na lista de Ordem de Listagem de Produtos"
"Default Value","Valor Padrão"
"Default option value is not defined.","Valor padrão para opção não foi informado."
"Delete","Excluir"
"Dropdown","Combobox"
"Email","Email"
"Entity collection expected.","Coleção de entidade esperada."
"Entity collections expected.","Coleções de entidade esperada."
"Entity is not initialized.","Entidade não foi inicializada."
"Failed to load node %s from config.","Falha ao carregar nódulo %s da configuração."
"For internal use. Must be unique with no spaces","Para uso interno. Precisa ser único e sem espaços"
"Form Element with the same attribute","Elemento Form com mesmo atributo"
"Form Fieldset with the same code","Campo do Form com mesmo código"
"Form Type with the same code","Tipo de Form com mesmo código"
"Frontend label is not defined.","Legenda do frontend não informado."
"Input Validation for Store Owner","Validação de Campo p/ Lojista"
"Integer Number","Numérico Inteiro"
"Invalid EAV attribute.","Inválido atributo EAV."
"Invalid alias, already exists in joint attributes.","Álias inválido, já existe atributos agrupados."
"Invalid attribute name: %s.","Nome de atributo inválido: %s."
"Invalid attribute requested: %s","Atributo solicitado é inválido: %s"
"Invalid attribute type.","Tipo de atributo inválido."
"Invalid character encountered in increment ID: %s","Carácter encontrado no preenchimento do ID é inválido: %s"
"Invalid entity specified","Entidade informada é inválida"
"Invalid entity supplied.","Entidade fornecida é inválida."
"Invalid entity supplied: %s.","Entidade fornecida inválida: %s."
"Invalid entity type.","Tipo de entidade é inválido."
"Invalid entity_id, skipping the record.","Entity_id inválido, ignorando registro."
"Invalid entity_type specified: %s","Entity_type informado é inválido: %s"
"Invalid foreign key.","Chave estrangeira inválida."
"Invalid form type.","Tipo de formulário inválido."
"Invalid joint fields.","Campos agrupados são inválidos."
"Invalid store specified","Loja informada é inválida"
"Joined field with this alias is already declared.","Campo agrupado com este álias já existe."
"Joint field or attribute expression with this alias is already declared.","Campo agrupado ou expressão de atributos com este álias já existe."
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Loaded %d records","Carregado %d registros"
"Multiple Select","Múltiplas Seleções"
"No","Não"
"No options found in config node %s","Nenhuma opção encontrada na configuração de nódulo %s"
"None","Sem Validação"
"Not shared with other products","Não repetir para outros produtos"
"Problem loading the collection, aborting. Error: %s","Problema ao carregar coleção, abortar. Erro: %s"
"Problem saving the collection, aborting. Error: %s","Problema ao salvar coleção, abortar. Erro: %s"
"Required","Obrigatório"
"Saved %d record(s).","Total de %d registro(s) salvos."
"Scope must not be changed, because the attribute is used in configurable products.","Escopo não pode ser alterado, porque o atributo é em produtos configuráveis."
"System","Sistema"
"Text Area","Campo Área de Texto"
"Text Field","Campo Texto"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","O código do atributo \'%s\' é reservado pelo sistema. Tente outro código"
"The value of attribute ""%s"" must be unique.","O valor do atributo ""%s"" precisa ser único."
"This attribute is used in configurable products.","Este atributo é usado em produtos configuráveis."
"URL","URL"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)"
"Unknown parameter.","Parâmetro desconhecido."
"Valid store_id is expected.","Esperado um valor p/ store_id válido."
"Values Required","Campo Obrigatório"
"Wrong attribute ID.","Atributo ID incorreto."
"Wrong attribute group ID.","Grupo de Atributo ID incorreto."
"Wrong attribute set ID.","Atributo ID informado incorreto."
"Wrong entity ID.","Entidade ID incorreto."
"Yes","Sim"
"Yes/No","Sim/Não"